city,state,primary_zip,county,valid_zips
"CONTINENTAL","OH","45831","PUTNAM","45831"
"CONTOOCOOK","NH","03229","MERRIMACK","03229"
"CONVENT STATION","NJ","07961","MORRIS","07961"
"CONVENT","LA","70723","ST. JAMES","70723"
"CONVERSE","IN","46919","MIAMI","46919"
"CONVERSE","LA","71419","SABINE","71419"
"CONVERSE","SC","29329","SPARTANBURG","29329"
"CONVERSE","TX","78109","BEXAR","78109"
"CONVOY","OH","45832","VAN WERT","45832"
"CONWAY SPRINGS","KS","67031","SUMNER","67031"
"CONWAY","AR","72032","FAULKNER","72032;72033;72034;72035"
"CONWAY","KS","67460","MCPHERSON","67460"
"CONWAY","MA","01341","FRANKLIN","01341"
"CONWAY","MI","49722","EMMET","49722"
"CONWAY","MO","65632","LACLEDE","65632"
"CONWAY","NC","27820","NORTHAMPTON","27820"
"CONWAY","NH","03818","CARROLL","03818"
"CONWAY","PA","15027","BEAVER","15027"
"CONWAY","SC","29526","HORRY","29526;29527;29528"
"CONWAY","WA","98238","SKAGIT","98238"
"CONYERS","GA","30012","ROCKDALE","30012;30013;30094"
"CONYNGHAM","PA","18219","LUZERNE","18219"
"COOK FALLS","NY","12776","SULLIVAN","12776"
"COOK SPRINGS","AL","35052","ST. CLAIR","35052"
"COOK STATION","MO","65449","CRAWFORD","65449"
"COOK STA","MO","65449","CRAWFORD","65449"
"COOKE CITY","MT","59020","PARK","59020"
"COOKEVILLE","TN","38501","PUTNAM","38501;38502;38503;38505;38506"
"COOKSBURG","PA","16217","FOREST","16217"
"COOKSON","OK","74427","CHEROKEE","74427"
"COOKSTOWN","NJ","08511","BURLINGTON","08511"
"COOKSVILLE","IL","61730","MCLEAN","61730"
"COOKSVILLE","MD","21723","HOWARD","21723"
"COOKS","MI","49817","SCHOOLCRAFT","49817"
"COOKVILLE","TX","75558","TITUS","75558"
"COOK","MN","55723","ST. LOUIS","55723"
"COOK","NE","68329","JOHNSON","68329"
"COOK","WA","98605","KLICKITAT","98605"
"COOL RIDGE","WV","25825","RALEIGH","25825"
"COOLEEMEE","NC","27014","DAVIE","27014"
"COOLIDGE","AZ","85228","PINAL","85128;85228"
"COOLIDGE","GA","31738","THOMAS","31738"
"COOLIDGE","KS","67836","HAMILTON","67836"
"COOLIDGE","TX","76635","LIMESTONE","76635"
"COOLIN","ID","83821","BONNER","83821"
"COOLSPRING","PA","15730","JEFFERSON","15730"
"COOLVILLE","OH","45723","ATHENS","45723"
"COOL","CA","95614","EL DORADO","95614"
"COON RAPIDS","IA","50058","CARROLL","50058"
"COON RAPIDS","MN","55433","ANOKA","55433;55448"
"COON VALLEY","WI","54623","VERNON","54623"
"COOPER LANDING","AK","99572","KENAI PENINSULA BOROUGH","99572"
"COOPERS MILLS","ME","04341","LINCOLN","04341"
"COOPERS PLAINS","NY","14827","STEUBEN","14827"
"COOPERSBURG","PA","18036","LEHIGH","18036"
"COOPERSTOWN","ND","58425","GRIGGS","58425"
"COOPERSTOWN","NY","13326","OTSEGO","13326"
"COOPERSTOWN","PA","16317","VENANGO","16317"
"COOPERSVILLE","MI","49404","OTTAWA","49404"
"COOPER","IA","50059","GREENE","50059"
"COOPER","TX","75432","DELTA","75432"
"COOS BAY","OR","97420","COOS","97420"
"COOSA PINES","AL","35044","TALLADEGA","35044"
"COOSADA","AL","36020","ELMORE","36020"
"COOSAWATCHIE","SC","29936","JASPER","29936"
"COOSAWHATCHIE","SC","29912","JASPER","29912"
"COOSA","GA","30129","FLOYD","30129"
"COOTER","MO","63839","PEMISCOT","63839"
"COPAKE FALLS","NY","12517","COLUMBIA","12517"
"COPAKE","NY","12516","COLUMBIA","12516"
"COPALIS BEACH","WA","98535","GRAYS HARBOR","98535"
"COPALIS CROSSING","WA","98536","GRAYS HARBOR","98536"
"COPAN","OK","74022","WASHINGTON","74022"
"COPELAND","FL","34137","COLLIER","34137"
"COPELAND","KS","67837","GRAY","67837"
"COPEMISH","MI","49625","MANISTEE","49625"
"COPENHAGEN","NY","13626","LEWIS","13626"
"COPEN","WV","26615","BRAXTON","26615"
"COPEVILLE","TX","75121","COLLIN","75121"
"COPE","CO","80812","WASHINGTON","80812"
"COPE","SC","29038","ORANGEBURG","29038"
"COPIAGUE","NY","11726","SUFFOLK","11726"
"COPLAY","PA","18037","LEHIGH","18037"
"COPLEY","OH","44321","SUMMIT","44321"
"COPPELL","TX","75019","DALLAS","75019;75099"
"COPPER CENTER","AK","99573","VALDEZ-CORDOVA CENSUS AREA","99573"
"COPPER CITY","MI","49917","HOUGHTON","49917"
"COPPER HARBOR","MI","49918","KEWEENAW","49918"
"COPPER HILL","VA","24079","FLOYD","24079"
"COPPER MOUNTAIN","CO","80443","SUMMIT","80443"
"COPPERAS COVE","TX","76522","CORYELL","76522"
"COPPERHILL","TN","37317","POLK","37317"
"COPPEROPOLIS","CA","95228","CALAVERAS","95228"
"COQUILLE","OR","97423","COOS","97423"
"CORAL GABLES","FL","33133","MIAMI-DADE","33114;33133;33134;33145;33146"
"CORAL SPRINGS","FL","33065","BROWARD","33065;33075"
"CORALVILLE","IA","52241","JOHNSON","52241"
"CORAL","MI","49322","MONTCALM","49322"
"CORAL","PA","15731","INDIANA","15731"
"CORAM","MT","59913","FLATHEAD","59913"
"CORAM","NY","11727","SUFFOLK","11727"
"CORAOPOLIS","PA","15108","ALLEGHENY","15108"
"CORAPEAKE","NC","27926","GATES","27926"
"CORA","WV","25614","LOGAN","25614"
"CORA","WY","82925","SUBLETTE","82925"
"CORBETTSVILLE","NY","13749","BROOME","13749"
"CORBETT","OR","97019","MULTNOMAH","97019"
"CORBIN CITY","NJ","08270","CAPE MAY","08270"
"CORBIN","KY","40701","WHITLEY","40701;40702"
"CORBIN","VA","22446","CAROLINE","22446"
"CORCORAN","CA","93212","KINGS","93212"
"CORDELE","GA","31015","CRISP","31010;31015"
"CORDELL","OK","73632","WASHITA","73632"
"CORDER","MO","64021","LAFAYETTE","64021"
"CORDESVILLE","SC","29434","BERKELEY","29434"
"CORDOVA","AK","99574","CHUGACH CENSUS AREA","99574"
"CORDOVA","AL","35550","WALKER","35550"
"CORDOVA","IL","61242","ROCK ISLAND","61242"
"CORDOVA","MD","21625","TALBOT","21625"
"CORDOVA","NC","28330","RICHMOND","28330"
"CORDOVA","NE","68330","SEWARD","68330"
"CORDOVA","NM","87523","RIO ARRIBA","87523"
"CORDOVA","SC","29039","ORANGEBURG","29039"
"CORDOVA","TN","38018","SHELBY","38016;38018;38088"
"CORD","AR","72524","INDEPENDENCE","72524"
"COREA","ME","04624","HANCOCK","04624"
"CORE","WV","26529","MONONGALIA","26529"
"CORFU","NY","14036","GENESEE","14036"
"CORINNA","ME","04928","PENOBSCOT","04928"
"CORINNE","UT","84307","BOX ELDER","84307"
"CORINNE","WV","25826","WYOMING","25826"
"CORINTH","KY","41010","GRANT","41010"
"CORINTH","ME","04427","PENOBSCOT","04427"
"CORINTH","MS","38834","ALCORN","38834;38835"
"CORINTH","NY","12822","SARATOGA","12822"
"CORINTH","VT","05039","ORANGE","05039"
"CORLEY","WV","26621","BRAXTON","26621"
"CORLISS","PA","15204","ALLEGHENY","15204"
"CORNELIA","GA","30531","HABERSHAM","30531"
"CORNELIUS","NC","28031","MECKLENBURG","28031;28036;28078"
"CORNELIUS","OR","97113","WASHINGTON","97113"
"CORNELL","IL","61319","LIVINGSTON","61319"
"CORNELL","MI","49818","DELTA","49818"
"CORNELL","WI","54732","CHIPPEWA","54732"
"CORNERSVILLE","TN","37047","MARSHALL","37047"
"CORNETTSVILLE","KY","41731","PERRY","41731"
"CORNING","AR","72422","CLAY","72422"
"CORNING","CA","96021","TEHAMA","96021"
"CORNING","IA","50841","ADAMS","50841"
"CORNING","KS","66417","NEMAHA","66417"
"CORNING","NY","14830","STEUBEN","14830;14831"
"CORNING","OH","43730","PERRY","43730"
"CORNISH FLAT","NH","03746","SULLIVAN","03746"
"CORNISHVILLE","KY","40330","MERCER","40330"
"CORNISH","ME","04020","YORK","04020"
"CORNISH","NH","03745","SULLIVAN","03745"
"CORNISH","UT","84308","CACHE","84308"
"CORNLAND","IL","62519","LOGAN","62519"
"CORNUCOPIA","WI","54827","BAYFIELD","54827"
"CORNVILLE","AZ","86325","YAVAPAI","86325"
"CORNWALL BRIDGE","CT","06754","NORTHWEST HILLS","06754"
"CORNWALL ON HUDSON","NY","12520","ORANGE","12520"
"CORNWALL ON HUDS","NY","12520","ORANGE","12520"
"CORNWALLVILLE","NY","12418","GREENE","12418"
"CORNWALL","CT","06753","NORTHWEST HILLS","06753"
"CORNWALL","NY","12518","ORANGE","12518"
"CORNWALL","PA","17016","LEBANON","17016"
"CORN","OK","73024","WASHITA","73024"
"COROLLA","NC","27927","CURRITUCK","27927"
"CORONA DEL MAR","CA","92625","ORANGE","92625"
"CORONADO","CA","92118","SAN DIEGO","92118;92178"
"CORONA","CA","91719","RIVERSIDE","91719;92877;92878;92879;92880;92881;92882;92883"
"CORONA","NM","88318","LINCOLN","88318"
"CORONA","NY","11368","QUEENS","11368"
"CORONA","SD","57227","ROBERTS","57227"
"CORP CHRISTI","TX","78401","NUECES","78401;78402;78403;78404;78405;78406;78407;78408;78409;78410;78411;78412;78413;78414;78415;78416;78417;78418;78419;78426;78427;78460;78463;78465;78466;78467;78468;78469;78472;78480"
"CORPUS CHRISTI","TX","78401","NUECES","78401;78402;78403;78404;78405;78406;78407;78408;78409;78410;78411;78412;78413;78414;78415;78416;78417;78418;78419;78426;78427;78460;78463;78465;78466;78467;78468;78469;78472;78480"
"CORRALES","NM","87048","SANDOVAL","87048"
"CORRAL","ID","83322","CAMAS","83322"
"CORRECTIONVILLE","IA","51016","WOODBURY","51016"
"CORRELL","MN","56227","BIG STONE","56227"
"CORRIGANVILLE","MD","21524","ALLEGANY","21524"
"CORRIGAN","TX","75939","POLK","75939"
"CORRYTON","TN","37721","KNOX","37721"
"CORRY","PA","16407","ERIE","16407"
"CORSICANA","TX","75110","NAVARRO","75109;75110;75151"
"CORSICA","PA","15829","JEFFERSON","15829"
"CORSICA","SD","57328","DOUGLAS","57328"
"CORSON","SD","57005","MINNEHAHA","57005"
"CORTARO","AZ","85652","PIMA","85652"
"CORTE MADERA","CA","94925","MARIN","94925;94976"
"CORTEZ","CO","81321","MONTEZUMA","81321"
"CORTEZ","FL","34215","MANATEE","34215"
"CORTLANDT MANOR","NY","10566","WESTCHESTER","10566;10567"
"CORTLAND","IL","60112","DEKALB","60112"
"CORTLAND","IN","47228","JACKSON","47228"
"CORTLAND","NE","68331","GAGE","68331"
"CORTLAND","NY","13045","CORTLAND","13045"
"CORTLAND","OH","44410","TRUMBULL","44410"
"CORUNNA","IN","46730","DE KALB","46730"
"CORUNNA","MI","48817","SHIAWASSEE","48817"
"CORVALLIS","MT","59828","RAVALLI","59828"
"CORVALLIS","OR","97330","BENTON","97330;97331;97333;97339"
"CORWITH","IA","50430","HANCOCK","50430"
"CORYDON","IA","50060","WAYNE","50060"
"CORYDON","IN","47112","HARRISON","47112"
"CORYDON","KY","42406","HENDERSON","42406"
"CORY","CO","81414","DELTA","81414"
"CORY","IN","47846","CLAY","47846"
"COS COB","CT","06807","FAIRFIELD","06807"
"COSBY","MO","64436","ANDREW","64436"
"COSBY","TN","37722","COCKE","37722"
"COSHOCTON","OH","43812","COSHOCTON","43812"
"COSMOPOLIS","WA","98537","GRAYS HARBOR","98537"
"COSMOS","MN","56228","MEEKER","56228"
"COSSAYUNA","NY","12823","WASHINGTON","12823"
"COSTA MESA","CA","92626","ORANGE","92626;92627;92628"
"COSTA","WV","25051","BOONE","25051"
"COSTIGAN","ME","04423","PENOBSCOT","04423"
"COSTILLA","NM","87524","TAOS","87524"
"COST","TX","78614","GONZALES","78614"
"COTATI","CA","94931","SONOMA","94931"
"COTEAU","ND","58721","BURKE","58721"
"COTO DE CAZA","CA","92679","ORANGE","92679"
"COTOPAXI","CO","81223","FREMONT","81223"
"COTTAGE GROVE","MN","55016","WASHINGTON","55016"
"COTTAGE GROVE","OR","97424","LANE","97424"
"COTTAGE GROVE","TN","38224","HENRY","38224"
"COTTAGE GROVE","WI","53527","DANE","53527"
"COTTAGE HILLS","IL","62018","MADISON","62018"
"COTTAGEVILLE","SC","29435","COLLETON","29435"
"COTTAGEVILLE","WV","25239","JACKSON","25239"
"COTTEKILL","NY","12419","ULSTER","12419"
"COTTER","AR","72626","BAXTER","72626"
"COTTLEVILLE","MO","63338","SAINT CHARLES","63338"
"COTTON CENTER","TX","79021","HALE","79021"
"COTTON PLANT","AR","72036","WOODRUFF","72036"
"COTTON VALLEY","LA","71018","WEBSTER","71018"
"COTTONDALE","AL","35453","TUSCALOOSA","35453"
"COTTONDALE","FL","32431","JACKSON","32431"
"COTTONPORT","LA","71327","AVOYELLES","71327"
"COTTONTON","AL","36851","RUSSELL","36851"
"COTTONTOWN","TN","37048","SUMNER","37048"
"COTTONWOOD COVE","NV","89046","CLARK","89046"
"COTTONWOOD FALLS","KS","66845","CHASE","66845"
"COTTONWOOD","AL","36320","HOUSTON","36320"
"COTTONWOOD","AZ","86326","YAVAPAI","86326"
"COTTONWOOD","CA","96022","SHASTA","96022"
"COTTONWOOD","ID","83522","IDAHO","83522"
"COTTONWOOD","MN","56229","LYON","56229"
"COTTONWOOD","SD","57775","PENNINGTON","57775"
"COTTONWOOD","UT","84121","SALT LAKE","84121"
"COTTON","GA","31739","MITCHELL","31739"
"COTTON","MN","55724","ST. LOUIS","55724"
"COTTRELLVILLE","MI","48039","ST. CLAIR","48039"
"COTUIT","MA","02635","BARNSTABLE","02635"
"COTULLA","TX","78014","LA SALLE","78014"
"COUCH","MO","65690","OREGON","65690"
"COUDERAY","WI","54828","SAWYER","54828"
"COUDERSPORT","PA","16915","POTTER","16915"
"COUGAR","WA","98616","COWLITZ","98616"
"COULEE CITY","WA","99115","GRANT","99115"
"COULEE DAM","WA","99116","OKANOGAN","99116"
"COULEE","ND","58746","WARD","58746"
"COULTERS","PA","15028","ALLEGHENY","15028"
"COULTERVILLE","CA","95311","MARIPOSA","95311"
"COULTERVILLE","IL","62237","RANDOLPH","62237"
"COULTER","IA","50431","FRANKLIN","50431"
"COUNCE","TN","38326","HARDIN","38326"
"COUNCIL BLUFFS","IA","51502","POTTAWATTAMIE","51501;51502;51503"
"COUNCIL GROVE","KS","66846","MORRIS","66846"
"COUNCIL HILL","OK","74428","MCINTOSH","74428"
"COUNCIL","ID","83612","ADAMS","83612"
"COUNCIL","NC","28434","BLADEN","28434"
"COUNCIL","VA","24260","RUSSELL","24260"
"COUNSELOR","NM","87018","SANDOVAL","87018"
"COUNTRY CLUB HILLS","IL","60478","COOK","60478"
"COUNTRY CLUB HIL","IL","60478","COOK","60478"
"COUNTRYSIDE","KS","66202","JOHNSON","66202"
"COUNTYLINE","OK","73425","STEPHENS","73425"
"COUPEVILLE","WA","98239","ISLAND","98239"
"COUPLAND","TX","78615","WILLIAMSON","78615"
"COUPON","PA","16629","CAMBRIA","16629"
"COURTENAY","ND","58426","STUTSMAN","58426"
"COURTLAND","AL","35618","LAWRENCE","35618"
"COURTLAND","CA","95615","SACRAMENTO","95615"
"COURTLAND","KS","66939","REPUBLIC","66939"
"COURTLAND","MN","56021","NICOLLET","56021"
"COURTLAND","MS","38620","PANOLA","38620"
"COURTLAND","VA","23837","SOUTHAMPTON","23837"
"COUSHATTA","LA","71019","RED RIVER","71019"
"COVE CITY","NC","28523","CRAVEN","28523"
"COVE GAP","WV","25534","WAYNE","25534"
"COVELO","CA","95428","MENDOCINO","95428"
"COVEL","WV","24719","WYOMING","24719"
"COVENTRY","CT","06238","TOLLAND","06238"
"COVENTRY","RI","02816","KENT","02816"
"COVENTRY","VT","05825","ORLEANS","05825"
"COVERT","MI","49043","VAN BUREN","49043"
"COVESVILLE","VA","22931","ALBEMARLE","22931"
"COVE","AR","71937","POLK","71937"
"COVE","OR","97824","UNION","97824"
"COVINA","CA","91722","LOS ANGELES","91722;91723;91724"
"COVINGTON","GA","30014","NEWTON","30014;30015;30016"
"COVINGTON","IN","47932","FOUNTAIN","47932"
"COVINGTON","KY","41011","KENTON","41011;41012;41014;41016;41019"
"COVINGTON","LA","70433","ST. TAMMANY","70433;70434;70435"
"COVINGTON","MI","49919","BARAGA","49919"
"COVINGTON","OH","45318","MIAMI","45318"
"COVINGTON","OK","73730","GARFIELD","73730"
"COVINGTON","PA","16917","TIOGA","16917"
"COVINGTON","TN","38019","TIPTON","38019"
"COVINGTON","TX","76636","HILL","76636"
"COVINGTON","VA","24426","COVINGTON (CITY)","24426"
"COWAN HEIGHTS","CA","92705","ORANGE","92705"
"COWANESQUE","PA","16918","TIOGA","16918"
"COWANSVILLE","PA","16218","ARMSTRONG","16218"
"COWAN","TN","37318","FRANKLIN","37318"
"COWARD","SC","29530","FLORENCE","29530"
"COWARTS","AL","36321","HOUSTON","36321"
"COWDEN","IL","62422","SHELBY","62422"
"COWDREY","CO","80434","JACKSON","80434"
"COWEN","WV","26206","WEBSTER","26206"
"COWETA","OK","74429","WAGONER","74429"
"COWGILL","MO","64637","CALDWELL","64637"
"COWICHE","WA","98923","YAKIMA","98923"
"COWLESVILLE","NY","14037","WYOMING","14037"
"COWLEY","WY","82420","BIG HORN","82420"
"COWPENS","SC","29330","SPARTANBURG","29330"
"COXS CREEK","KY","40013","NELSON","40013"
"COXS MILLS","WV","26342","GILMER","26342"
"COXSACKIE","NY","12051","GREENE","12051"
"COYANOSA","TX","79730","PECOS","79730"
"COYLE","OK","73027","LOGAN","73027"
"COYOTE SPRINGS","NV","89037","CLARK","89037"
"COYOTE","CA","95013","SANTA CLARA","95013"
"COYOTE","NM","87012","RIO ARRIBA","87012"
"COY","AL","36435","WILCOX","36435"
"COY","AR","72037","LONOKE","72037"
"COZAD","NE","69130","DAWSON","69130"
"CRAB ORCHARD","KY","40419","LINCOLN","40419"
"CRAB ORCHARD","NE","68332","JOHNSON","68332"
"CRAB ORCHARD","TN","37723","CUMBERLAND","37723"
"CRAB ORCHARD","WV","25827","RALEIGH","25827"
"CRABTREE","OR","97335","LINN","97335"
"CRABTREE","PA","15624","WESTMORELAND","15624"
"CRADDOCKVILLE","VA","23341","ACCOMACK","23341"
"CRAFTON","PA","15205","ALLEGHENY","15205"
"CRAFTSBURY COMMON","VT","05827","ORLEANS","05827"
"CRAFTSBURY COMMO","VT","05827","ORLEANS","05827"
"CRAFTSBURY","VT","05826","ORLEANS","05826"
"CRAGFORD","AL","36255","CLAY","36255"
"CRAGSMOOR","NY","12420","ULSTER","12420"
"CRAIGMONT","ID","83523","LEWIS","83523"
"CRAIGSVILLE","PA","16262","ARMSTRONG","16262"
"CRAIGSVILLE","VA","24430","AUGUSTA","24430"
"CRAIGSVILLE","WV","26205","NICHOLAS","26205"
"CRAIGVILLE","IN","46731","WELLS","46731"
"CRAIG","AK","99921","PRINCE OF WALES-OUTER KETCHIKAN CENSUS","99921"
"CRAIG","CO","81625","MOFFAT","81625;81626"
"CRAIG","MO","64437","HOLT","64437"
"CRAIG","NE","68019","BURT","68019"
"CRALEY","PA","17312","YORK","17312"
"CRAMERTON","NC","28032","GASTON","28032"
"CRANBERRY ISLES","ME","04625","HANCOCK","04625"
"CRANBERRY LAKE","NY","12927","ST. LAWRENCE","12927"
"CRANBERRY TOWNSHIP","PA","16066","BUTLER","16066"
"CRANBERRY","PA","16319","VENANGO","16319"
"CRANBURY","NJ","08512","MERCER","08512"
"CRANDALL","GA","30711","MURRAY","30711"
"CRANDALL","IN","47114","HARRISON","47114"
"CRANDALL","TX","75114","KAUFMAN","75114"
"CRANDON","WI","54520","FOREST","54520"
"CRANE HILL","AL","35053","CULLMAN","35053"
"CRANE LAKE","MN","55725","ST. LOUIS","55725"
"CRANE NAVAL DEPO","IN","47522","MARTIN","47522"
"CRANESVILLE","PA","16410","ERIE","16410"
"CRANE","IN","47522","MARTIN","47522"
"CRANE","MO","65633","STONE","65633"
"CRANE","MT","59217","RICHLAND","59217"
"CRANE","OR","97732","HARNEY","97732"
"CRANE","TX","79731","CRANE","79731"
"CRANFILLS GAP","TX","76637","BOSQUE","76637"
"CRANFORD","NJ","07016","UNION","07016"
"CRANKS","KY","40820","HARLAN","40820"
"CRANSTON","RI","02905","PROVIDENCE","02905;02907;02909;02910;02919;02920;02921"
"CRAPO","MD","21626","DORCHESTER","21626"
"CRARYVILLE","NY","12521","COLUMBIA","12521"
"CRARY","ND","58327","RAMSEY","58327"
"CRATER LAKE","OR","97604","KLAMATH","97604"
"CRAWFORDSVILLE","AR","72327","CRITTENDEN","72327"
"CRAWFORDSVILLE","IA","52621","WASHINGTON","52621"
"CRAWFORDSVILLE","IN","47933","MONTGOMERY","47933"
"CRAWFORDSVILLE","OR","97336","LINN","97336"
"CRAWFORDVILLE","FL","32327","WAKULLA","32326;32327"
"CRAWFORDVILLE","GA","30631","TALIAFERRO","30631"
"CRAWFORD","CO","81415","DELTA","81415"
"CRAWFORD","GA","30630","OGLETHORPE","30630"
"CRAWFORD","MS","39743","LOWNDES","39743"
"CRAWFORD","NE","69339","DAWES","69339"
"CRAWFORD","OK","73638","ROGER MILLS","73638"
"CRAWFORD","TN","38554","OVERTON","38554"
"CRAWFORD","TX","76638","MCLENNAN","76638"
"CRAWFORD","WV","26343","LEWIS","26343"
"CRAWLEY","WV","24931","GREENBRIER","24931"
"CRAYNE","KY","42033","CRITTENDEN","42033"
"CRAZY HORSE","SD","57730","CUSTER","57730"
"CREAL SPRINGS","IL","62922","WILLIAMSON","62922"
"CREAM RIDGE","NJ","08514","MONMOUTH","08514"
"CREAMERY","PA","19430","MONTGOMERY","19430"
"CREAMRIDGE","NJ","08514","MONMOUTH","08514"
"CREEDE","CO","81130","MINERAL","81130"
"CREEDMOOR","NC","27522","GRANVILLE","27522"
"CREEDMOOR","TX","78747","TRAVIS","78747"
"CREEKSIDE","PA","15732","INDIANA","15732"
"CREIGHTON","MO","64739","CASS","64739"
"CREIGHTON","NE","68729","KNOX","68729"
"CREIGHTON","PA","15030","ALLEGHENY","15030"
"CREIGHTON","SD","57729","PENNINGTON","57729"
"CRENSHAW","MS","38621","PANOLA","38621"
"CREOLA","AL","36525","MOBILE","36525"
"CREOLA","OH","45622","VINTON","45622"
"CREOLE","LA","70632","CAMERON","70632"
"CRESAPTOWN","MD","21502","ALLEGANY","21502"
"CRESBARD","SD","57435","FAULK","57435"
"CRESCENT BEACH","FL","34242","SARASOTA","34242"
"CRESCENT CITY","CA","95531","DEL NORTE","95531;95532"
"CRESCENT CITY","FL","32112","PUTNAM","32112"
"CRESCENT CITY","IL","60928","IROQUOIS","60928"
"CRESCENT MILLS","CA","95934","PLUMAS","95934"
"CRESCENT VALLEY","NV","89821","EUREKA","89821"
"CRESCENT","GA","31304","MCINTOSH","31304"
"CRESCENT","IA","51526","POTTAWATTAMIE","51526"
"CRESCENT","MO","63025","ST. LOUIS","63025"
"CRESCENT","OK","73028","LOGAN","73028"
"CRESCENT","OR","97733","KLAMATH","97733"
"CRESCENT","PA","15046","ALLEGHENY","15046"
"CRESCO","IA","52136","HOWARD","52136"
"CRESCO","PA","18326","MONROE","18326"
"CRESSEY","CA","95312","MERCED","95312"
"CRESSKILL","NJ","07626","BERGEN","07626"
"CRESSONA","PA","17929","SCHUYLKILL","17929"
"CRESSON","PA","16630","CAMBRIA","16630;16699"
"CRESSON","TX","76035","HOOD","76035"
"CREST HILL","IL","60403","WILL","60403"
"CRESTED BUTTE","CO","81224","GUNNISON","81224;81225"
"CRESTLINE HEIGHT","AL","35213","JEFFERSON","35213"
"CRESTLINE","CA","92325","SAN BERNARDINO","92325"
"CRESTLINE","KS","66728","CHEROKEE","66728"
"CRESTLINE","OH","44827","CRAWFORD","44827"
"CRESTONE","CO","81131","SAGUACHE","81131"
"CRESTON","CA","93432","SAN LUIS OBISPO","93432"
"CRESTON","IA","50801","UNION","50801"
"CRESTON","IL","60113","OGLE","60113"
"CRESTON","NC","28615","ASHE","28615"
"CRESTON","NE","68631","PLATTE","68631"
"CRESTON","OH","44217","WAYNE","44217"
"CRESTON","WA","99117","LINCOLN","99117"
"CRESTON","WV","26141","CALHOUN","26141"
"CRESTVIEW","FL","32536","OKALOOSA","32536;32539"
"CRESTWOOD","IL","60445","COOK","60418;60445"
"CRESTWOOD","KY","40014","OLDHAM","40014"
"CRESWELL","NC","27928","WASHINGTON","27928"
"CRESWELL","OR","97426","LANE","97426"
"CRETE","IL","60417","WILL","60417"
"CRETE","ND","58040","SARGENT","58040"
"CRETE","NE","68333","SALINE","68333"
"CREVE COEUR","IL","61610","TAZEWELL","61610"
"CREVE COEUR","MO","63141","ST. LOUIS","63141"
"CREWE","VA","23930","NOTTOWAY","23930"
"CRIDERSVILLE","OH","45806","ALLEN","45806"
"CRIDERS","VA","22820","ROCKINGHAM","22820"
"CRIMORA","VA","24431","AUGUSTA","24431"
"CRIPPLE CREEK","CO","80813","TELLER","80813"
"CRIPPLE CREEK","VA","24322","WYTHE","24322"
"CRISFIELD","MD","21817","SOMERSET","21817"
"CRISP","NC","27852","EDGECOMBE","27852"
"CRITTENDEN","KY","41030","GRANT","41030"
"CRITTENDEN","NY","14038","ERIE","14038"
"CRITZ","VA","24082","PATRICK","24082"
"CRIVITZ","WI","54114","MARINETTE","54114"
"CROCHERON","MD","21627","DORCHESTER","21627"
"CROCKER","MO","65452","PULASKI","65452"
"CROCKETT MILLS","TN","38021","CROCKETT","38021"
"CROCKETTS BLUFF","AR","72038","ARKANSAS","72038"
"CROCKETT","CA","94525","CONTRA COSTA","94525"
"CROCKETT","KY","41413","MORGAN","41413"
"CROCKETT","TX","75835","HOUSTON","75835"
"CROCKETT","VA","24323","WYTHE","24323"
"CROCKETVILLE","SC","29913","HAMPTON","29913"
"CROFTON","KY","42217","CHRISTIAN","42217"
"CROFTON","MD","21114","ANNE ARUNDEL","21114"
"CROFTON","NE","68730","KNOX","68730"
"CROGHAN","NY","13327","LEWIS","13327"
"CROMBERG","CA","96103","PLUMAS","96103"
"CROMONA","KY","41810","LETCHER","41810"
"CROMPOND","NY","10517","WESTCHESTER","10517"
"CROMWELL","CT","06416","MIDDLESEX","06416"
"CROMWELL","IA","50842","UNION","50842"
"CROMWELL","IN","46732","NOBLE","46732"
"CROMWELL","KY","42333","OHIO","42333"
"CROMWELL","MN","55726","CARLTON","55726"
"CROMWELL","OK","74837","SEMINOLE","74837"
"CROOKED CREEK","AK","99575","BETHEL CENSUS AREA","99575"
"CROOKED RIVER RA","OR","97760","JEFFERSON","97760"
"CROOKSTON","MN","56716","POLK","56716"
"CROOKSTON","NE","69212","CHERRY","69212"
"CROOKSVILLE","OH","43731","PERRY","43731"
"CROOKS","SD","57020","MINNEHAHA","57020"
"CROOK","CO","80726","LOGAN","80726"
"CROPPER","KY","40057","HENRY","40057"
"CROPSEYVILLE","NY","12052","RENSSELAER","12052"
"CROPSEY","IL","61731","MCLEAN","61731"
"CROPWELL","AL","35054","ST. CLAIR","35054"
"CROSBYTON","TX","79322","CROSBY","79322"
"CROSBY","MN","56441","CROW WING","56441"
"CROSBY","MS","39633","WILKINSON","39633"
"CROSBY","ND","58730","DIVIDE","58730"
"CROSBY","PA","16724","MC KEAN","16724"
"CROSBY","TX","77532","HARRIS","77532"
"CROSS ANCHOR","SC","29331","SPARTANBURG","29331"
"CROSS CITY","FL","32628","DIXIE","32628"
"CROSS FORK","PA","17729","POTTER","17729"
"CROSS HILL","SC","29332","LAURENS","29332"
"CROSS JUNCTION","VA","22625","FREDERICK","22625"
"CROSS LANES","WV","25313","KANAWHA","25313"
"CROSS PLAINS","IN","47017","RIPLEY","47017"
"CROSS PLAINS","TN","37049","ROBERTSON","37049"
"CROSS PLAINS","TX","76443","CALLAHAN","76443"
